"","Var1","Freq"
"1","01",26173
"2","02",2927
"3","03",5109
"4","04",10144
"5","05",12565
"6","06",28147
"7","07",41332
"8","08",56299
"9","09",99032
"10","10",71193
"11","11",72554
"12","12",37740
"13","13",69575
"14","14",74449
"15","15",78721
"16","16",80783
"17","17",81429
"18","18",82974
"19","19",86330
"20","20",44395
"21","21",122594
"22","22",38627
